Type|Number of Grains|Severity|Pollen Count (Grains/m^3)|Date
Weeds|0|LOW (0 - 30 grains)|0.0|05/12/2006
Grasses|3|LOW (0 - 15 grains)|1.0|05/15/2006
Trees|10|LOW (0 - 45 grains)|3.2|05/15/2006
Weeds|2|LOW (0 - 30 grains)|0.6|05/15/2006
Grasses|30|MODERATE (16 - 60 grains)|9.6|05/16/2006
Trees|77|MODERATE (46 - 270 grains)|24.7|05/16/2006
Weeds|3|LOW (0 - 30 grains)|1.0|05/16/2006
Grasses|70|HIGH (61 - 600 grains)|22.4|05/17/2006
Trees|77|MODERATE (46 - 270 grains)|24.7|05/17/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/17/2006
Grasses|52|MODERATE (16 - 60 grains)|16.7|05/18/2006
Trees|78|MODERATE (46 - 270 grains)|25.0|05/18/2006
Weeds|1|LOW (0 - 30 grains)|0.3|05/18/2006
Grasses|24|MODERATE (16 - 60 grains)|7.7|05/19/2006
Trees|84|MODERATE (46 - 270 grains)|26.9|05/19/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/19/2006
Grasses|96|HIGH (61 - 600 grains)|30.8|05/22/2006
Trees|142|MODERATE (46 - 270 grains)|45.5|05/22/2006
Weeds|1|LOW (0 - 30 grains)|0.3|05/22/2006
Grasses|67|HIGH (61 - 600 grains)|21.5|05/23/2006
Trees|113|MODERATE (46 - 270 grains)|36.2|05/23/2006
Weeds|2|LOW (0 - 30 grains)|0.6|05/23/2006
Grasses|69|HIGH (61 - 600 grains)|22.1|05/24/2006
Trees|59|MODERATE (46 - 270 grains)|18.9|05/24/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/24/2006
Grasses|74|HIGH (61 - 600 grains)|23.7|05/25/2006
Trees|121|MODERATE (46 - 270 grains)|38.8|05/25/2006
Weeds|5|LOW (0 - 30 grains)|1.6|05/25/2006
Grasses|43|MODERATE (16 - 60 grains)|13.8|05/26/2006
Trees|85|MODERATE (46 - 270 grains)|27.2|05/26/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/26/2006
Grasses|239|HIGH (61 - 600 grains)|38.3|05/30/2006
Trees|226|MODERATE (46 - 270 grains)|36.2|05/30/2006
Weeds|19|LOW (0 - 30 grains)|3.0|05/30/2006
Grasses|35|MODERATE (16 - 60 grains)|11.2|05/31/2006
Trees|39|LOW (0 - 45 grains)|12.5|05/31/2006
Weeds|0|LOW (0 - 30 grains)|0.0|05/31/2006
Grasses|77|HIGH (61 - 600 grains)|24.7|06/01/2006
Trees|16|LOW (0 - 45 grains)|5.1|06/01/2006
Weeds|10|LOW (0 - 30 grains)|3.2|06/01/2006
Grasses|33|MODERATE (16 - 60 grains)|10.6|06/02/2006
Trees|36|LOW (0 - 45 grains)|11.5|06/02/2006
Weeds|19|LOW (0 - 30 grains)|6.1|06/02/2006
Grasses|80|HIGH (61 - 600 grains)|25.6|06/05/2006
Trees|172|MODERATE (46 - 270 grains)|55.1|06/05/2006
Weeds|20|LOW (0 - 30 grains)|6.4|06/05/2006
Grasses|9|LOW (0 - 15 grains)|2.9|06/06/2006
Trees|25|LOW (0 - 45 grains)|8.0|06/06/2006
Weeds|11|LOW (0 - 30 grains)|3.5|06/06/2006
Grasses|9|LOW (0 - 15 grains)|2.9|06/07/2006
Trees|18|LOW (0 - 45 grains)|5.8|06/07/2006
Weeds|15|LOW (0 - 30 grains)|4.8|06/07/2006
Grasses|31|MODERATE (16 - 60 grains)|9.9|06/08/2006
Trees|31|LOW (0 - 45 grains)|9.9|06/08/2006
Weeds|21|LOW (0 - 30 grains)|6.7|06/08/2006
Grasses|15|LOW (0 - 15 grains)|4.8|06/09/2006
Trees|65|MODERATE (46 - 270 grains)|20.8|06/09/2006
Weeds|1|LOW (0 - 30 grains)|0.3|06/09/2006
Grasses|8|LOW (0 - 15 grains)|2.6|06/12/2006
Trees|4|LOW (0 - 45 grains)|1.3|06/12/2006
Weeds|9|LOW (0 - 30 grains)|2.9|06/12/2006
Grasses|2|LOW (0 - 15 grains)|0.6|06/13/2006
Trees|11|LOW (0 - 45 grains)|3.5|06/13/2006
Weeds|29|LOW (0 - 30 grains)|9.3|06/13/2006
Grasses|0|LOW (0 - 15 grains)|0.0|06/14/2006
Trees|4|LOW (0 - 45 grains)|1.3|06/14/2006
Weeds|0|LOW (0 - 30 grains)|0.0|06/14/2006
Grasses|15|LOW (0 - 15 grains)|4.8|06/15/2006
Trees|7|LOW (0 - 45 grains)|2.2|06/15/2006
Weeds|8|LOW (0 - 30 grains)|2.6|06/15/2006
Grasses|26|MODERATE (16 - 60 grains)|8.3|06/16/2006
Trees|21|LOW (0 - 45 grains)|6.7|06/16/2006
Weeds|40|MODERATE (31 - 120 grains)|12.8|06/16/2006
Grasses|60|MODERATE (16 - 60 grains)|19.2|06/19/2006
Trees|12|LOW (0 - 45 grains)|3.8|06/19/2006
Weeds|33|MODERATE (31 - 120 grains)|10.6|06/19/2006
Grasses|11|LOW (0 - 15 grains)|3.5|06/20/2006
Trees|6|LOW (0 - 45 grains)|1.9|06/20/2006
Weeds|12|LOW (0 - 30 grains)|3.8|06/20/2006
Grasses|31|MODERATE (16 - 60 grains)|9.9|06/21/2006
Trees|13|LOW (0 - 45 grains)|4.2|06/21/2006
Weeds|3|LOW (0 - 30 grains)|1.0|06/21/2006
Grasses|29|MODERATE (16 - 60 grains)|9.3|06/22/2006
Trees|8|LOW (0 - 45 grains)|2.6|06/22/2006
Weeds|16|LOW (0 - 30 grains)|5.1|06/22/2006
Grasses|62|HIGH (61 - 600 grains)|19.9|06/23/2006
Trees|19|LOW (0 - 45 grains)|6.1|06/23/2006
Weeds|25|LOW (0 - 30 grains)|8.0|06/23/2006
Grasses|26|MODERATE (16 - 60 grains)|8.3|06/26/2006
Trees|3|LOW (0 - 45 grains)|1.0|06/26/2006
Weeds|6|LOW (0 - 30 grains)|1.9|06/26/2006
Grasses|127|HIGH (61 - 600 grains)|40.7|06/27/2006
Trees|6|LOW (0 - 45 grains)|1.9|06/27/2006
Weeds|62|MODERATE (31 - 120 grains)|19.9|06/27/2006
Grasses|79|HIGH (61 - 600 grains)|25.3|06/28/2006
Trees|8|LOW (0 - 45 grains)|2.6|06/28/2006
Weeds|9|LOW (0 - 30 grains)|2.9|06/28/2006
Grasses|207|HIGH (61 - 600 grains)|66.3|06/29/2006
Trees|8|LOW (0 - 45 grains)|2.6|06/29/2006
Weeds|39|MODERATE (31 - 120 grains)|12.5|06/29/2006
Grasses|40|MODERATE (16 - 60 grains)|12.8|06/30/2006
Trees|37|LOW (0 - 45 grains)|11.9|06/30/2006
Weeds|91|MODERATE (31 - 120 grains)|29.2|06/30/2006
Grasses|82|HIGH (61 - 600 grains)|26.3|07/05/2006
Trees|3|LOW (0 - 45 grains)|1.0|07/05/2006
Weeds|16|LOW (0 - 30 grains)|5.1|07/05/2006
Grasses|72|HIGH (61 - 600 grains)|23.1|07/06/2006
Trees|3|LOW (0 - 45 grains)|1.0|07/06/2006
Weeds|20|LOW (0 - 30 grains)|6.4|07/06/2006
Grasses|37|MODERATE (16 - 60 grains)|11.9|07/07/2006
Trees|10|LOW (0 - 45 grains)|3.2|07/07/2006
Weeds|5|LOW (0 - 30 grains)|1.6|07/07/2006
Grasses|189|HIGH (61 - 600 grains)|60.6|07/10/2006
Trees|11|LOW (0 - 45 grains)|3.5|07/10/2006
Weeds|30|LOW (0 - 30 grains)|9.6|07/10/2006
Grasses|126|HIGH (61 - 600 grains)|40.4|07/11/2006
Trees|24|LOW (0 - 45 grains)|7.7|07/11/2006
Weeds|27|LOW (0 - 30 grains)|8.7|07/11/2006
Grasses|171|HIGH (61 - 600 grains)|54.8|07/12/2006
Trees|10|LOW (0 - 45 grains)|3.2|07/12/2006
Weeds|19|LOW (0 - 30 grains)|6.1|07/12/2006
Grasses|120|HIGH (61 - 600 grains)|38.5|07/13/2006
Trees|11|LOW (0 - 45 grains)|3.5|07/13/2006
Weeds|23|LOW (0 - 30 grains)|7.4|07/13/2006
Grasses|83|HIGH (61 - 600 grains)|26.6|07/14/2006
Trees|7|LOW (0 - 45 grains)|2.2|07/14/2006
Weeds|15|LOW (0 - 30 grains)|4.8|07/14/2006
Grasses|58|MODERATE (16 - 60 grains)|18.6|07/17/2006
Trees|16|LOW (0 - 45 grains)|5.1|07/17/2006
Weeds|41|MODERATE (31 - 120 grains)|13.1|07/17/2006
Grasses|204|HIGH (61 - 600 grains)|65.4|07/18/2006
Trees|9|LOW (0 - 45 grains)|2.9|07/18/2006
Weeds|21|LOW (0 - 30 grains)|6.7|07/18/2006
Grasses|120|HIGH (61 - 600 grains)|38.5|07/19/2006
Trees|9|LOW (0 - 45 grains)|2.9|07/19/2006
Weeds|16|LOW (0 - 30 grains)|5.1|07/19/2006
Grasses|293|HIGH (61 - 600 grains)|93.9|07/20/2006
Trees|82|MODERATE (46 - 270 grains)|26.3|07/20/2006
Weeds|57|MODERATE (31 - 120 grains)|18.3|07/20/2006
Grasses|246|HIGH (61 - 600 grains)|78.8|07/21/2006
Trees|4|LOW (0 - 45 grains)|1.3|07/21/2006
Weeds|32|MODERATE (31 - 120 grains)|10.3|07/21/2006
Grasses|35|MODERATE (16 - 60 grains)|11.2|07/24/2006
Trees|1|LOW (0 - 45 grains)|0.3|07/24/2006
Weeds|2|LOW (0 - 30 grains)|0.6|07/24/2006
Grasses|18|MODERATE (16 - 60 grains)|5.8|07/25/2006
Trees|1|LOW (0 - 45 grains)|0.3|07/25/2006
Weeds|8|LOW (0 - 30 grains)|2.6|07/25/2006
Grasses|70|HIGH (61 - 600 grains)|22.4|07/26/2006
Trees|1|LOW (0 - 45 grains)|0.3|07/26/2006
Weeds|3|LOW (0 - 30 grains)|1.0|07/26/2006
Grasses|122|HIGH (61 - 600 grains)|39.1|07/27/2006
Trees|3|LOW (0 - 45 grains)|1.0|07/27/2006
Weeds|9|LOW (0 - 30 grains)|2.9|07/27/2006
Grasses|60|MODERATE (16 - 60 grains)|19.2|07/28/2006
Trees|8|LOW (0 - 45 grains)|2.6|07/28/2006
Weeds|4|LOW (0 - 30 grains)|1.3|07/28/2006
Grasses|26|MODERATE (16 - 60 grains)|8.3|07/31/2006
Trees|3|LOW (0 - 45 grains)|1.0|07/31/2006
Weeds|7|LOW (0 - 30 grains)|2.2|07/31/2006
Grasses|24|MODERATE (16 - 60 grains)|7.7|08/01/2006
Trees|5|LOW (0 - 45 grains)|1.6|08/01/2006
Weeds|9|LOW (0 - 30 grains)|2.9|08/01/2006
Grasses|20|MODERATE (16 - 60 grains)|6.4|08/02/2006
Trees|6|LOW (0 - 45 grains)|1.9|08/02/2006
Weeds|11|LOW (0 - 30 grains)|3.5|08/02/2006
Grasses|172|HIGH (61 - 600 grains)|55.1|08/03/2006
Trees|9|LOW (0 - 45 grains)|2.9|08/03/2006
Weeds|16|LOW (0 - 30 grains)|5.1|08/03/2006
Grasses|92|HIGH (61 - 600 grains)|29.5|08/04/2006
Trees|20|LOW (0 - 45 grains)|6.4|08/04/2006
Weeds|46|MODERATE (31 - 120 grains)|14.7|08/04/2006
Grasses|83|HIGH (61 - 600 grains)|26.6|08/07/2006
Trees|6|LOW (0 - 45 grains)|1.9|08/07/2006
Weeds|29|LOW (0 - 30 grains)|9.3|08/07/2006
Grasses|48|MODERATE (16 - 60 grains)|15.4|08/08/2006
Trees|5|LOW (0 - 45 grains)|1.6|08/08/2006
Weeds|14|LOW (0 - 30 grains)|4.5|08/08/2006
Grasses|116|HIGH (61 - 600 grains)|37.2|08/09/2006
Trees|6|LOW (0 - 45 grains)|1.9|08/09/2006
Weeds|35|MODERATE (31 - 120 grains)|11.2|08/09/2006
Grasses|217|HIGH (61 - 600 grains)|69.6|08/10/2006
Trees|5|LOW (0 - 45 grains)|1.6|08/10/2006
Weeds|45|MODERATE (31 - 120 grains)|14.4|08/10/2006
Grasses|111|HIGH (61 - 600 grains)|35.6|08/11/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/11/2006
Weeds|25|LOW (0 - 30 grains)|8.0|08/11/2006
Grasses|210|HIGH (61 - 600 grains)|67.3|08/14/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/14/2006
Weeds|36|MODERATE (31 - 120 grains)|11.5|08/14/2006
Grasses|107|HIGH (61 - 600 grains)|34.3|08/15/2006
Trees|28|LOW (0 - 45 grains)|9.0|08/15/2006
Weeds|26|LOW (0 - 30 grains)|8.3|08/15/2006
Grasses|36|MODERATE (16 - 60 grains)|11.5|08/16/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/16/2006
Weeds|5|LOW (0 - 30 grains)|1.6|08/16/2006
Grasses|15|LOW (0 - 15 grains)|4.8|08/17/2006
Trees|3|LOW (0 - 45 grains)|1.0|08/17/2006
Weeds|13|LOW (0 - 30 grains)|4.2|08/17/2006
Grasses|24|MODERATE (16 - 60 grains)|7.7|08/18/2006
Trees|16|LOW (0 - 45 grains)|5.1|08/18/2006
Weeds|8|LOW (0 - 30 grains)|2.6|08/18/2006
Grasses|38|MODERATE (16 - 60 grains)|12.2|08/21/2006
Trees|4|LOW (0 - 45 grains)|1.3|08/21/2006
Weeds|11|LOW (0 - 30 grains)|3.5|08/21/2006
Grasses|55|MODERATE (16 - 60 grains)|17.6|08/22/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/22/2006
Weeds|38|MODERATE (31 - 120 grains)|12.2|08/22/2006
Grasses|15|LOW (0 - 15 grains)|4.8|08/23/2006
Trees|6|LOW (0 - 45 grains)|1.9|08/23/2006
Weeds|7|LOW (0 - 30 grains)|2.2|08/23/2006
Grasses|8|LOW (0 - 15 grains)|2.6|08/24/2006
Trees|4|LOW (0 - 45 grains)|1.3|08/24/2006
Weeds|38|MODERATE (31 - 120 grains)|12.2|08/24/2006
Grasses|11|LOW (0 - 15 grains)|3.5|08/25/2006
Trees|1|LOW (0 - 45 grains)|0.3|08/25/2006
Weeds|12|LOW (0 - 30 grains)|3.8|08/25/2006
Grasses|10|LOW (0 - 15 grains)|3.2|08/28/2006
Trees|1|LOW (0 - 45 grains)|0.3|08/28/2006
Weeds|12|LOW (0 - 30 grains)|3.8|08/28/2006
Grasses|12|LOW (0 - 15 grains)|3.8|08/29/2006
Trees|6|LOW (0 - 45 grains)|1.9|08/29/2006
Weeds|44|MODERATE (31 - 120 grains)|14.1|08/29/2006
Grasses|8|LOW (0 - 15 grains)|2.6|08/30/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/30/2006
Weeds|32|MODERATE (31 - 120 grains)|10.3|08/30/2006
Grasses|2|LOW (0 - 15 grains)|0.6|08/31/2006
Trees|2|LOW (0 - 45 grains)|0.6|08/31/2006
Weeds|6|LOW (0 - 30 grains)|1.9|08/31/2006
Grasses|1|LOW (0 - 15 grains)|0.3|09/01/2006
Trees|1|LOW (0 - 45 grains)|0.3|09/01/2006
Weeds|1|LOW (0 - 30 grains)|0.3|09/01/2006
Grasses|7|LOW (0 - 15 grains)|2.2|09/05/2006
Trees|0|LOW (0 - 45 grains)|0.0|09/05/2006
Weeds|15|LOW (0 - 30 grains)|4.8|09/05/2006
Grasses|38|MODERATE (16 - 60 grains)|12.2|09/06/2006
Trees|1|LOW (0 - 45 grains)|0.3|09/06/2006
Weeds|36|MODERATE (31 - 120 grains)|11.5|09/06/2006
Grasses|62|HIGH (61 - 600 grains)|19.9|09/07/2006
Trees|1|LOW (0 - 45 grains)|0.3|09/07/2006
Weeds|53|MODERATE (31 - 120 grains)|17.0|09/07/2006
Grasses|78|HIGH (61 - 600 grains)|25.0|09/08/2006
Trees|0|LOW (0 - 45 grains)|0.0|09/08/2006
Weeds|67|MODERATE (31 - 120 grains)|21.5|09/08/2006
Grasses|3|LOW (0 - 15 grains)|1.0|09/11/2006
Trees|7|LOW (0 - 45 grains)|2.2|09/11/2006
Weeds|59|MODERATE (31 - 120 grains)|18.9|09/11/2006
Grasses|3|LOW (0 - 15 grains)|1.0|09/12/2006
Trees|7|LOW (0 - 45 grains)|2.2|09/12/2006
Weeds|69|MODERATE (31 - 120 grains)|22.1|09/12/2006
Grasses|9|LOW (0 - 15 grains)|2.9|09/13/2006
Trees|2|LOW (0 - 45 grains)|0.6|09/13/2006
Weeds|102|MODERATE (31 - 120 grains)|32.7|09/13/2006
Grasses|7|LOW (0 - 15 grains)|2.2|09/14/2006
Trees|1|LOW (0 - 45 grains)|0.3|09/14/2006
Weeds|23|LOW (0 - 30 grains)|7.4|09/14/2006
Grasses|5|LOW (0 - 15 grains)|1.6|09/15/2006
Trees|2|LOW (0 - 45 grains)|0.6|09/15/2006
Weeds|10|LOW (0 - 30 grains)|3.2|09/15/2006
Grasses|5|LOW (0 - 15 grains)|1.6|09/18/2006
Trees|4|LOW (0 - 45 grains)|1.3|09/18/2006
Weeds|45|MODERATE (31 - 120 grains)|14.4|09/18/2006
Grasses|42|MODERATE (16 - 60 grains)|13.5|09/19/2006
Trees|5|LOW (0 - 45 grains)|1.6|09/19/2006
Weeds|89|MODERATE (31 - 120 grains)|28.5|09/19/2006
Grasses|11|LOW (0 - 15 grains)|3.5|09/20/2006
Trees|16|LOW (0 - 45 grains)|5.1|09/20/2006
Weeds|23|LOW (0 - 30 grains)|7.4|09/20/2006
Grasses|10|LOW (0 - 15 grains)|3.2|09/21/2006
Trees|11|LOW (0 - 45 grains)|3.5|09/21/2006
Weeds|76|MODERATE (31 - 120 grains)|24.4|09/21/2006
Grasses|59|MODERATE (16 - 60 grains)|18.9|09/22/2006
Trees|8|LOW (0 - 45 grains)|2.6|09/22/2006
Weeds|108|MODERATE (31 - 120 grains)|34.6|09/22/2006
Grasses|56|MODERATE (16 - 60 grains)|17.9|09/25/2006
Trees|7|LOW (0 - 45 grains)|2.2|09/25/2006
Weeds|76|MODERATE (31 - 120 grains)|24.4|09/25/2006
Grasses|57|MODERATE (16 - 60 grains)|18.3|09/26/2006
Trees|0|LOW (0 - 45 grains)|0.0|09/26/2006
Weeds|32|MODERATE (31 - 120 grains)|10.3|09/26/2006
Grasses|52|MODERATE (16 - 60 grains)|16.7|09/27/2006
Trees|1|LOW (0 - 45 grains)|0.3|09/27/2006
Weeds|51|MODERATE (31 - 120 grains)|16.3|09/27/2006
Grasses|82|HIGH (61 - 600 grains)|26.3|09/28/2006
Trees|0|LOW (0 - 45 grains)|0.0|09/28/2006
Weeds|29|LOW (0 - 30 grains)|9.3|09/28/2006
Grasses|12|LOW (0 - 15 grains)|3.8|09/29/2006
Trees|3|LOW (0 - 45 grains)|1.0|09/29/2006
Weeds|45|MODERATE (31 - 120 grains)|14.4|09/29/2006
Grasses|11|LOW (0 - 15 grains)|3.5|10/02/2006
Trees|2|LOW (0 - 45 grains)|0.6|10/02/2006
Weeds|32|MODERATE (31 - 120 grains)|10.3|10/02/2006
Grasses|4|LOW (0 - 15 grains)|1.3|10/03/2006
Trees|3|LOW (0 - 45 grains)|1.0|10/03/2006
Weeds|48|MODERATE (31 - 120 grains)|15.4|10/03/2006
Grasses|14|LOW (0 - 15 grains)|4.5|10/04/2006
Trees|3|LOW (0 - 45 grains)|1.0|10/04/2006
Weeds|53|MODERATE (31 - 120 grains)|17.0|10/04/2006
Grasses|4|LOW (0 - 15 grains)|1.3|10/09/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/09/2006
Weeds|25|LOW (0 - 30 grains)|8.0|10/09/2006
Grasses|4|LOW (0 - 15 grains)|1.3|10/11/2006
Trees|4|LOW (0 - 45 grains)|1.3|10/11/2006
Weeds|36|MODERATE (31 - 120 grains)|11.5|10/11/2006
Grasses|4|LOW (0 - 15 grains)|1.3|10/12/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/12/2006
Weeds|88|MODERATE (31 - 120 grains)|28.2|10/12/2006
Grasses|7|LOW (0 - 15 grains)|2.2|10/13/2006
Trees|4|LOW (0 - 45 grains)|1.3|10/13/2006
Weeds|41|MODERATE (31 - 120 grains)|13.1|10/13/2006
Grasses|2|LOW (0 - 15 grains)|0.6|10/16/2006
Trees|1|LOW (0 - 45 grains)|0.3|10/16/2006
Weeds|10|LOW (0 - 30 grains)|3.2|10/16/2006
Grasses|2|LOW (0 - 15 grains)|0.6|10/17/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/17/2006
Weeds|14|LOW (0 - 30 grains)|4.5|10/17/2006
Grasses|4|LOW (0 - 15 grains)|1.3|10/18/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/18/2006
Weeds|0|LOW (0 - 30 grains)|0.0|10/18/2006
Grasses|0|LOW (0 - 15 grains)|0.0|10/19/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/19/2006
Weeds|0|LOW (0 - 30 grains)|0.0|10/19/2006
Grasses|6|LOW (0 - 15 grains)|1.9|10/20/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/20/2006
Weeds|18|LOW (0 - 30 grains)|5.8|10/20/2006
Grasses|2|LOW (0 - 15 grains)|0.6|10/23/2006
Trees|0|LOW (0 - 45 grains)|0.0|10/23/2006
Weeds|5|LOW (0 - 30 grains)|1.6|10/23/2006
Grasses|1|LOW (0 - 15 grains)|0.3|10/24/2006
Trees|2|LOW (0 - 45 grains)|0.6|10/24/2006
Weeds|3|LOW (0 - 30 grains)|1.0|10/24/2006
Grasses|1|LOW (0 - 15 grains)|0.3|10/25/2006
Trees|2|LOW (0 - 45 grains)|0.6|10/25/2006
Weeds|2|LOW (0 - 30 grains)|0.6|10/25/2006
Grasses|2|LOW (0 - 15 grains)|0.6|10/26/2006
Trees|1|LOW (0 - 45 grains)|0.3|10/26/2006
Weeds|5|LOW (0 - 30 grains)|1.6|10/26/2006
Grasses|0|LOW (0 - 15 grains)|0.0|10/27/2006
Trees|1|LOW (0 - 45 grains)|0.3|10/27/2006
Weeds|4|LOW (0 - 30 grains)|1.3|10/27/2006
Grasses|1|LOW (0 - 15 grains)|0.3|10/30/2006
Trees|7|LOW (0 - 45 grains)|2.2|10/30/2006
Weeds|5|LOW (0 - 30 grains)|1.6|10/30/2006
Grasses|0|LOW (0 - 15 grains)|0.0|10/31/2006
Trees|1|LOW (0 - 45 grains)|0.3|10/31/2006
Weeds|1|LOW (0 - 30 grains)|0.3|10/31/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/01/2006
Trees|1|LOW (0 - 45 grains)|0.3|11/01/2006
Weeds|5|LOW (0 - 30 grains)|1.6|11/01/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/02/2006
Trees|2|LOW (0 - 45 grains)|0.6|11/02/2006
Weeds|0|LOW (0 - 30 grains)|0.0|11/02/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/03/2006
Trees|3|LOW (0 - 45 grains)|1.0|11/03/2006
Weeds|0|LOW (0 - 30 grains)|0.0|11/03/2006
Grasses|1|LOW (0 - 15 grains)|0.3|11/06/2006
Trees|3|LOW (0 - 45 grains)|1.0|11/06/2006
Weeds|2|LOW (0 - 30 grains)|0.6|11/06/2006
Grasses|1|LOW (0 - 15 grains)|0.3|11/07/2006
Trees|0|LOW (0 - 45 grains)|0.0|11/07/2006
Weeds|2|LOW (0 - 30 grains)|0.6|11/07/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/08/2006
Trees|0|LOW (0 - 45 grains)|0.0|11/08/2006
Weeds|1|LOW (0 - 30 grains)|0.3|11/08/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/09/2006
Trees|0|LOW (0 - 45 grains)|0.0|11/09/2006
Weeds|1|LOW (0 - 30 grains)|0.3|11/09/2006
Grasses|1|LOW (0 - 15 grains)|0.3|11/13/2006
Trees|1|LOW (0 - 45 grains)|0.3|11/13/2006
Weeds|1|LOW (0 - 30 grains)|0.3|11/13/2006
Grasses|0|LOW (0 - 15 grains)|0.0|11/15/2006
Trees|0|LOW (0 - 45 grains)|0.0|11/15/2006
Weeds|2|LOW (0 - 30 grains)|0.6|11/15/2006
