Total (Grains/m^3)|Comments|Date
17.6|Juniper, Maple|03/05/2008
75.3|Predominant type - juniper, elm|03/06/2008
26.0|juniper|03/07/2008
13.5|Predominant type - elm, juniper|03/10/2008
34.3|Predominant type - pine|03/11/2008
24.0|juniper, elm|03/12/2008
67.0|Predominant type - juniper|03/13/2008
242.9|Pine,Juniper, Oak, Maple|03/14/2008
51.0|Predominant type -juniper,maple|03/17/2008
6.7|Predominant type -maple|03/18/2008
76.0|Predominant type -pine|03/19/2008
293.6|Predominant type -pine, oaks|03/20/2008
0.0|Collection Error|03/24/2008
41.3|Predominant type - pine, birch|03/25/2008
133.3|Predominantly Pine, Oak, Birch|03/26/2008
131.1|Predominant type - pine, birch, oak|03/27/2008
924.0|Predominant pollen is Pine, Oak, Birch|03/28/2008
15.1|Predominant type - pine, birch|03/31/2008
18.3|Predominant type - pine, oak|04/01/2008
1136.5|Predominant type: Pine, Oak, Birch|04/02/2008
849.0|This is an estimated count based on 1/3 of rod counted|04/03/2008
131.7|Predominant type - oaks, pine|04/04/2008
256.7|Predominant type - oaks|04/07/2008
673.1|This is anestimated count, based on 1/3 of rod counted|04/08/2008
1096.2|Predominantly Pine This count is based on counted one third of the rod|04/09/2008
691.3|Estimated count based on 1/3 of rod counted|04/10/2008
775.6|Predominantly Oak, Sweet Gum|04/11/2008
699.0|Predominant pollen is Oak, Pine|04/14/2008
287.8|Predominant type - oaks, pine, sweetgum,ash|04/15/2008
581.7|Oak is predominant type|04/16/2008
237.5|Predominant type - oaks, pine, sweetgum|04/17/2008
791.7|Oak|04/18/2008
328.8|Estimated count based on 2/3 of rod counted|04/21/2008
247.8|Estimated count based on 2/3 of rod counted|04/22/2008
144.6|Predominant pollen is Oak|04/23/2008
259.3|Predominant type - oaks, ash|04/24/2008
257.1|Predominant pollen is Oak|04/25/2008
31.4|Predominant type - oaks|04/28/2008
228.8|Predominant type - oaks|04/29/2008
288.1|Predominant type is Oak|04/30/2008
69.9|Predominant type - oaks, hickory|05/01/2008
156.4|Predominant type - oaks, hickory|05/02/2008
99.4|Predominant type - oaks, hickory|05/05/2008
164.4|Predominant type - oaks, hickory, birch|05/06/2008
227.9|Predominant type Oak|05/07/2008
234.9|Predominant type - oaks, hickory, birch|05/08/2008
36.9|Predominant type Hickory/Walnut|05/09/2008
27.2|Predominant type - oaks|05/12/2008
52.2|Predominant type - oaks|05/13/2008
94.9|predominant type is Birch, Hickory/Walnut|05/14/2008
51.6|Predominant type - hickory|05/15/2008
9.0|Predominant type: Hickory/Walnut, grasses|05/16/2008
49.4|Predominant type - hickory|05/19/2008
116.3|Predominant type - trees- hickory|05/20/2008
10.9|Predominant type is Hickory, grasses|05/21/2008
0.3||05/22/2008
0.0|Our pollen sampler was removed for motor replacement|05/23/2008
0.0|This is to let our pollen network know that our sampler repair has been further delayed|06/11/2008
33.3|pine, hickory|06/18/2008
14.1|Predominant type - trees|06/19/2008
10.6|Predominant types - grasses, trees|06/20/2008
8.3|Predominant type - trees|06/23/2008
9.9|Predominant type -weeds|06/24/2008
11.2|Predominant type -grasses|06/25/2008
13.5|Predominant type - grasses|06/26/2008
5.4|grasses|06/27/2008
7.4|Predominant type - grasses|06/30/2008
13.5|Predominant type - grasses|07/01/2008
19.6|Predominant type - grasses|07/02/2008
10.3|grasses|07/03/2008
7.4|Predominant type - grasses|07/07/2008
6.7|Predominant type - grasses|07/08/2008
9.6|grass and weeds|07/09/2008
3.8|Predominant type - grasses|07/10/2008
5.1|grass|07/11/2008
0.0||07/14/2008
0.0|No sample today Tomorrow should be normal|07/15/2008
27.6|prdominant pollen is grass|07/16/2008
12.5|Predominant type - grasses|07/17/2008
15.7|grasses|07/18/2008
27.9|Predominant type - grasses|07/21/2008
30.1|Predominant type - grasses|07/22/2008
86.9|predominant type is grass|07/23/2008
19.9|Predominant type - grasses|07/24/2008
10.9|grasses are predominant|07/25/2008
23.7|Predominant type - grasses|07/28/2008
30.4|Predominant type - grasses|07/29/2008
39.4|grasses are predominant|07/30/2008
15.1|Predominant type -grasses|07/31/2008
5.8|grasses are predominant|08/01/2008
39.1|Predominant type - grasses|08/04/2008
10.3|Predominant type - grasses|08/05/2008
12.5|GRASSES ARE PREDOMINANT|08/06/2008
9.6|Predominant type - trees|08/07/2008
4.8|pine predominant type|08/08/2008
9.3|Predominant type - weeds|08/11/2008
8.3|Predominant type -grasses|08/12/2008
12.5|grasses are predominant|08/13/2008
1.0|Predominant type - grasses|08/14/2008
10.6|Predominant type -weeds - nettle|08/15/2008
22.8|Predominant type - grasses|08/18/2008
16.3|Predominant type- grasses|08/19/2008
13.1|weeds are predominant|08/20/2008
8.7|predominant type - weeds|08/21/2008
9.9|Predominant type - weeds|08/22/2008
6.7|weeds are predominant|08/25/2008
10.9|Predominant type - weeds|08/26/2008
1.9|GRASS|08/27/2008
2.6|Predominant type -weeds|08/28/2008
14.7|weeds are predominate|08/29/2008
40.1|Predominant type - weeds - ragweed|09/02/2008
37.8|Predominant type - weeds ragweed|09/03/2008
30.4|Predominant type - weeds- ragweed|09/04/2008
46.2|Predominant type - weeds - ragweed|09/08/2008
64.7|Predominant type - weeds - ragweed|09/09/2008
24.4|weeds are predominant|09/10/2008
6.7|Predominant type -weeds - ragweed|09/11/2008
18.3|weeds are predominant|09/12/2008
79.2|weeds are predominant|09/15/2008
74.4|weeds are predominant,|09/16/2008
4.2|weeds are predominant|09/17/2008
15.7|weeds are predominant|09/18/2008
23.1|weeds are predominant|09/19/2008
27.9|Predominant type - weeds - ragweed|09/22/2008
24.0|weeds are predominant|09/23/2008
30.1|Predominant type - weeds - ragweed|09/24/2008
37.5|Predominant type - weed - ragweed|09/25/2008
3.8|weeds are predominant|09/26/2008
11.5|Predominant type - grasses|09/29/2008
29.8|Predominant typ e- weeds - ragweed|09/30/2008
15.7|ragweeds are predominant|10/01/2008
8.0|Predominant type - grasses|10/02/2008
8.0|ragweed is predominant with pine|10/03/2008
22.1|Predominant type -weeds - ragweed|10/06/2008
15.1|Predominant type - weeds - ragweed|10/07/2008
10.6|Predominant type -weeds - ragweed|10/08/2008
15.7|Predominant type - weeds - ragweed|10/09/2008
4.8|grass and weeds are equal|10/10/2008
12.8|Predominant type - weeds - ragweed|10/13/2008
3.2|Predominant type - grasses|10/14/2008
7.7|grasses are predominant|10/15/2008
5.4|Predominant type - weeds|10/16/2008
3.2|grasses are predominant|10/17/2008
4.8|Predominant type - weed - ragweed|10/20/2008
1.3|Predominant type -weeds|10/21/2008
3.8|trees are predominant|10/22/2008
0.3|grass only|10/24/2008
0.6||10/27/2008
8.0|Predominant type - weeds - ragweed|10/28/2008
4.2|Predominant type - weeds|10/29/2008
5.1|Predominant type -trees|10/30/2008
0.0|there is not pollen to report|10/31/2008
2.9|Predominant type - grasses|11/03/2008
0.0||11/04/2008
0.0|no pollen today|11/05/2008
2.6|Predominant type - trees|11/06/2008
1.3|pine is predominant|11/07/2008
1.6|Predominant type - trees|11/10/2008
0.3|1 pollen|11/12/2008
0.3|Tomorrow will be our final pollen report of the season|11/13/2008
0.3|1 pine pollen This concludes the pollen sampling for 2008|11/14/2008
21.5|Predominant type - juniper|03/02/2009
60.3|Predominant type - elm, juniper|03/03/2009
58.3|Juniper|03/04/2009
26.0|Predominant type - juniper, elm|03/05/2009
45.8|Juniper|03/06/2009
175.3|Predominant type - juniper, maple|03/09/2009
157.7|Predominant type - juniper, maple|03/10/2009
62.2|Predominant type - juniper|03/11/2009
111.5|Predominant type - juniper, maple, oak|03/12/2009
115.7|Junipers|03/13/2009
1.0|Elm|03/16/2009
0.6||03/17/2009
4.2|Juniper|03/18/2009
39.1|Predominant type - poplar, oak, beech|03/19/2009
42.9|Maple, Pine, Oak, Juniper|03/20/2009
68.9|Predominant type - pine, oak, juniper, birch|03/23/2009
24.7|Predominant type - birch, oaks, juniper|03/24/2009
22.4|Birch, Sycamore, Pine, Oak, Elm, Maple|03/25/2009
0.0||03/26/2009
179.5|Predominant type - oaks, pine|03/27/2009
493.3|Estimated count-1/3 of rod counted|03/30/2009
129.8|Predominant type - birch, oaks|03/31/2009
377.9|Oak, Pine,Birch, Sweet Gum|04/01/2009
142.9|Predominant type- oaks, pine, birch, sweetgum|04/02/2009
112.8|Oak, Pine|04/03/2009
1428.8|Estimated count Predominant type - pine, oaks|04/06/2009
613.5|Estimated count - 1/3 of rod counted|04/07/2009
420.8|Estimated count based on 2/3 of rod counted Predominant type - pine, oaks|04/08/2009
185.6|Predominant type - oaks|04/09/2009
185.6|There will be no pollen count report today|04/10/2009
608.7|Pine, Oak, Sweet Gum|04/13/2009
563.5|Predominant type - oaks|04/14/2009
212.2|Oak is predominant but there is also Pine|04/15/2009
338.8|Estimated count based on 1/3 of rod counted|04/16/2009
532.7|Estimated count - based on 1/3 of rod counted Predominant type - oaks Also pine,sweetgum,ash, birch, willow,mulberry, hickory|04/17/2009
777.9|Estimated count based on 1/3 of rod counted|04/20/2009
902.9|Estimated count based on 1/3 of rod counted|04/21/2009
687.5|Oak, Pine|04/22/2009
790.4|Estimated count based on 1/3 of rod counted|04/23/2009
568.3|Oak is the predominant type|04/24/2009
212.8|Predominant type - oaks, pine|04/27/2009
214.7|Predominant type - oaks, pine, hickory|04/28/2009
128.8|OAK, PINE, HICKORY/WALNUT, WEEDS, GRASS|04/29/2009
267.3|Predominant type - oaks, pine, hickory|04/30/2009
30.4|Weeds, Hickory/Walnut, grasses, Pine|05/01/2009
129.8|Predominant type - hickory|05/04/2009
77.9|Predominant type - hickory, oaks|05/05/2009
5.4|Pine, Oak|05/06/2009
89.1|Predominant type - trees - hickory|05/07/2009
35.3|OAK|05/08/2009
172.1|Predominant type -trees-oaks, hickory, walnut, pine|05/11/2009
19.6|Predominant type - trees -oaks|05/12/2009
50.6|grasses, Hickory/Walnut|05/13/2009
57.1|Predominant type - trees - hickory|05/14/2009
27.6|grasses|05/15/2009
29.2|Predominan type - trees - oaks|05/18/2009
43.6|Pine, Oak, grasses|05/19/2009
30.4|GRASSES|05/20/2009
46.5|Predominant type - grasses|05/21/2009
19.2|grasses|05/22/2009
8.3|Predominant type - grasses|05/26/2009
7.4|weeds,grasses|05/27/2009
30.8|Predominant type - grasses|05/28/2009
0.6|it has been a cool rainy week|05/29/2009
1.9|Predominant type - trees|06/01/2009
58.0|Predominant type - weeds - plantain|06/02/2009
42.3|weeds|06/03/2009
55.8|Predominant type - grasses|06/04/2009
11.2|WEEDS|06/05/2009
4.5|Predominant type -weeds|06/08/2009
44.2|Predominant type - weeds - plantain|06/09/2009
10.6|Predominant type - trees - pine|06/11/2009
25.3|weeds|06/12/2009
38.1|Predominant type - weeds - plantain|06/15/2009
22.8|Predominant type - weeds - plantain|06/16/2009
1.0|rainy weather|06/17/2009
4.5|Predominant type - weeds|06/18/2009
11.9|Predominant type - grasses|06/19/2009
23.1|Predominant type - grasses|06/22/2009
11.5|grasses|06/23/2009
9.9|grasses|06/24/2009
12.2|Predominant type - grasses|06/25/2009
7.7|Predominant type - grasses|06/26/2009
24.7|Predominant type - grasses|06/29/2009
33.0||06/30/2009
33.3|grasses|07/01/2009
0.6||07/02/2009
14.7|grasses|07/06/2009
17.0|Predominant type - grasses|07/07/2009
34.3|grasses|07/08/2009
67.3|Predominant type - grasses|07/09/2009
34.9|Predominant type - grasses|07/10/2009
3.8|UNIDENTIFIED TREES|07/13/2009
9.3|Predominant type - weeds|07/14/2009
12.8|grasses|07/15/2009
45.8|Predominant type -grasses|07/16/2009
9.0|grasses|07/17/2009
6.1|Predominant type - grasses|07/20/2009
5.1|grasses|07/21/2009
7.1|grasses|07/22/2009
10.3|Predominant type - grasses|07/23/2009
5.4|grasses|07/24/2009
26.9|Predominant type - grasses|07/27/2009
13.8|Predominant type - grasses|07/28/2009
47.1|grasses|07/29/2009
18.6|Predominant type - grasses|07/30/2009
32.4|grasses|07/31/2009
28.2|Predominant type - grasses|08/03/2009
12.2|Predominant type - grasses|08/04/2009
8.3|grasses|08/05/2009
0.0|rain|08/06/2009
3.8|grasses|08/07/2009
13.8|grasses|08/10/2009
17.0|grasses|08/11/2009
34.3|Predominant type - grasses|08/12/2009
4.8|Predominant type - grasses|08/13/2009
4.8|grasses|08/14/2009
0.0|no pollen - equipment problem|08/17/2009
18.9|Predominant type -grasses|08/18/2009
23.7|grasses|08/19/2009
18.6|Predominant type - grasses|08/20/2009
13.1|GRASSES|08/21/2009
8.3|Predominant type - grasses|08/24/2009
19.9|Predominant type - grasses|08/25/2009
26.9|grasses|08/26/2009
23.4|Predominant type -grasses|08/27/2009
0.0|Microscope broken|08/28/2009
20.2|Predominant type -weeds -ragweed|08/31/2009
3.8|Predominant type - weeds - ragweed|09/01/2009
16.7|weeds|09/02/2009
22.8|Predominant type - weeds - ragweed|09/03/2009
15.4|weeds|09/04/2009
14.4|Predominant type - weeds - ragweed|09/08/2009
45.8|ELM|09/09/2009
53.5|Predominant type - weeds - ragweed|09/10/2009
27.2|PREDOMINANT POLLEN TYPE IS WEEDS|09/11/2009
28.8|Predominant type - weeds -ragweed|09/14/2009
26.6|Predominant type - weeds - ragweed, lamb's quarters|09/15/2009
32.7|Predominant type weeds|09/16/2009
0.0|rain|09/17/2009
23.1|Predominant pollen type is weeds|09/18/2009
24.0|predominant pollen is weeds|09/21/2009
12.8|Predominant pollen type is weeds|09/22/2009
7.1|predominant pollen type is weeds|09/23/2009
3.8|Predominant type: grasses|09/24/2009
19.6|Predominant type is grasses|09/25/2009
13.5|Predominant type - weeds - ragweed|09/28/2009
48.1|Predominant type - weeds - ragweed|09/29/2009
16.0|PREDOMINANT TYPE IS WEEDS|09/30/2009
8.7|Predominant type - weeds - ragweed|10/01/2009
9.6|Predominant type - weed -ragweed|10/02/2009
16.7|Predominant type - weeds - ragweed|10/05/2009
1.0|Predominant type - weeds|10/06/2009
3.5|predominant type is weeds|10/07/2009
26.3|Predominant type - weeds - ragweed|10/08/2009
64.7|predominant type is weeds|10/09/2009
16.3|Predominant type - weeds - ragweed|10/12/2009
2.2|Predominant type - grasses|10/13/2009
6.1|predominant type weeds|10/14/2009
0.3|Predominant type - weeds|10/15/2009
0.0|The pollen sampler battery died|10/16/2009
0.0|There is no pollen to report today because of a problem with our sampler|10/19/2009
0.0|No pollen was collected due to a problem with the sampler|10/21/2009
4.5|Predominant type - weeds|10/22/2009
0.0|sampler ran|10/23/2009
2.6|Predominant type -weeds - ragweed|10/26/2009
1.0|Predominant type - grasses|10/27/2009
0.3|one weed pollen|10/28/2009
1.6|Predominant type - grass|10/29/2009
2.9|Predominant type - trees|10/30/2009
0.0|rain|11/02/2009
1.3||11/03/2009
2.9|Pines were Predominant|11/04/2009
2.2||11/05/2009
1.3|2 pollen each of pine and ragweed|11/06/2009
3.2|Predominant type - weeds|11/09/2009
1.6|Predominant type - trees No pollen report tomorrow - State holiday|11/10/2009
0.3|1 ragweed|11/13/2009
0.0||11/16/2009
3.8|Predominant type - weeds|11/17/2009
1.0||11/18/2009
0.0||11/19/2009
0.6|one pine pollen|11/20/2009
1.0||11/23/2009
0.6||11/24/2009
0.0|End of pollen sampling for 2009|11/25/2009
